campaign,status,ad_group,keyword,match_type,final_url,basis
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse trekking,Exact,https://www.8lakestours.com/horse-trekking-mongolia,High commercial relevance to exact product
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Orkhon Valley,orkhon valley horse riding,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Exact itinerary and activity
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Orkhon Valley,mongolia orkhon valley tour,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Location-led commercial intent
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Nomadic Family Adventure,nomadic horse trek mongolia,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Differentiated product intent
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Nomadic Family Adventure,stay with nomadic family mongolia,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Host-family differentiator
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Nomadic Family Adventure,authentic mongolia horse tour,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Experience plus activity qualifier
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse trekking tour,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,High-intent tour hypothesis from verified product fit
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,guided horse trek mongolia,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Guide-qualified commercial intent
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Eight Lakes / Naiman Nuur,eight lakes mongolia horse trek,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Destination and exact product combination
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Orkhon Valley,bat ulzii horse tour,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Arrival-location commercial hypothesis
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse trek beginners,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Verified beginner suitability
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,private group horse trek mongolia,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Verified private-group offer
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse trekking cost,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Price-aware commercial intent
Search | Brand | 8 Lakes Tours | EN,PAUSED - OPTIONAL DRAFT,Brand,8 lakes tours,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Brand protection
Search | Brand | 8 Lakes Tours | EN,PAUSED - OPTIONAL DRAFT,Brand,8 lakes mongolia,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Top disclosed organic query
Search | Brand | 8 Lakes Tours | EN,PAUSED - OPTIONAL DRAFT,Brand,eight lakes mongolia,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Observed spelling variant
